ad_id,description,employeur,experience,id,location,nb_postes,niveau,niveau_etude,posted_date,region,secteur,source,title,type_contrat,url
6417670,"Vous êtes passionné(e)s par le marketing et la communication ?
Rejoignez une équipe passionnée et engagée pour faire partie d'un projet ambitieux, qui place l'innovation et la proximité client au premier plan.","
                            Kirene avec Orange
                    ",,0716a0815675708902320190cb9a4bfc,Dakar,,"
                            CDD
                    ",,"11. juil., 10:02","
                Dakar
            ","
                            Publicité, Communication
                    ",expat-dakar,"
    Chef de projet marketing et communication
",,https://www.expat-dakar.com/annonce/chef-de-projet-marketing-et-communication-6417670
6417680,"Tu veux booster ta carrière tout en contribuant à des projets à fort impact ?
FONGIP recrute un(e) Ingénieur Projet Junior !
Analyse, gestion de projets, finance... ce poste est fait pour les profils polyvalents et motivés !
Postule avant le 15 juillet à 12h","
                            Fongip
                    ",,63a7d8829f1ae0209ad0afdfe656389b,Dakar,,"
                            CDD
                    ",,"11. juil., 10:09","
                Dakar
            ","
                            Autres
                    ",expat-dakar,"
    Ingénieur projet junior
",,https://www.expat-dakar.com/annonce/ingenieur-projet-junior-6417680
6417987,"Recrute pour SEPTEMBRE chargé(e)s de prospection commerciale FREELANCE pour de la prise de rendez-vous en b to b par téléphone vers la France.

Votre mission est de démarcher des entreprises pour leur proposer des rendez-vous téléphoniques auprès d'interlocuteurs décisionnaires tels que les Directeurs financiers ou Ressources humaines, sur des prestations

intellectuelles dans le domaine du consulting.

Expérience exigée en émission d'appels auprès d'entreprises vers la France Belgique ou Canada.

Mission en télétravail

Rémunération attractive

Démarrage : SEPTEMBRE

Merci d'envoyer vos cv PAR MAIL UNIQUEMENT ET NON SUR WhatsApp car ils ne seront pas consultés.","
                            BU
                    ",,872047d521820f8ab777c43f0b1c8035,Travail à distance,,,,"11. juil., 13:59","
                Télétravail
            ","
                            Services aux entreprises
                    ",expat-dakar,"
    Recrute teleprospecteurs expérimentés
","
                            Temps plein
                    ",https://www.expat-dakar.com/annonce/recrute-teleprospecteurs-experimentes-6417987
5798930,"Societe de livraison etablie a Dakar (Liberte 6 Extension) cherche une commerciale dynamique, independente et ayant le sens des affaires.
Missions Principales
Developper et fideliser un portefeuille de clients
Cibler et prospecter des clients
Promouvoir l'offre de services ou de produits
Detecter des opportunites de croissance
Coordonner la reception, la verification et le suivi de colis",,"
                            1 an
                    ",856695f41e78bf22ec9b340c3c2c1254,Liberte 6 extension,,"
                            Stage/Alternance
                    ","
                            Baccalauréat
                    ","12. juil., 03:14","
                Dakar
            ","
                            Transports, logistique
                    ",expat-dakar,"
    Entreprise de livraison cherche commerciale
","
                            Temps plein
                    ",https://www.expat-dakar.com/annonce/entreprise-de-livraison-cherche-commerciale-5798930
6419789,"Objectif principal

Prospecter activement des structures basées en France (Grandes entreprises, PME,) afin de leur proposer des services de sous-traitance comptable (mis à disposition de collaborateurs comptables sénior, manager) adaptés à leurs besoins, en développant le portefeuille clients de l'entreprise.
Missions principales
Prospection commerciale
Identifier, contacter et démarcher de nouveaux prospects (téléphone, email, rendez-vous physiques ou virtuels) pour présenter l'offre de services comptables.
Analyse des besoins :
Comprendre les attentes et problématiques des prospects pour leur proposer une solution adaptée.
Présentation de l'offre :
Présenter les services d'expertise comptable, d'accompagnement fiscal, social et administratif, en valorisant la valeur ajoutée de l'entreprise.
Négociation et closing :
Négocier les conditions commerciales, rédiger et faire signer les contrats.
Suivi et fidélisation :
Assurer un suivi régulier des clients, assurer leur satisfaction et identifier de nouvelles opportunités.
Reporting :
Rédiger des comptes rendus d'activité, actualiser le CRM et suivre les indicateurs de performance.
Informations supplémentaires
Profil recherché

Formation en commerce, gestion ou comptabilité

Expérience confirmée en prospection commerciale B2B, idéalement dans le secteur des services aux entreprises ou comptables.

Bonne connaissance de l'environnement des PME, associations ou professions libérales.

Aptitudes avérées en communication interpersonnelle et professionnelle

Professionnalisme reconnu et motivation à atteindre les objectifs fixés

Excellentes qualités relationnelles, capacité d'écoute et de persuasion.

Autonomie, dynamisme et esprit d'initiative.

Maîtrise des outils CRM et pack Office.
Compétences clés

Techniques de vente et négociation

Connaissance du secteur de l'expertise comptable ou de la gestion d'entreprise

Capacité à analyser les besoins clients

Persévérance et organisation","
                            Teranga Manpower
                    ",,bf406dfd7b7fce84c4dc25c4a2a338a9,Dakar,,"
                            CDD
                    ",,"14. juil., 13:03","
                Dakar
            ","
                            Banques, finances
                    ",expat-dakar,"
    Attaché(e) commerciale sénior en expertise comptable
",,https://www.expat-dakar.com/annonce/attachee-commerciale-senior-en-expertise-comptable-6419789
6419803,"L'ANPEJ recherche pour un de ses partenaires :
Deux cent cinq (205) Coach Mobile Orange Money.
PS : Seuls les candidats présélectionnés seront contactés.
Profil Coach mobile orange money

Niveau BAC ou BAC+ en marketing et commerce.
Compétences clés

Excellente communication interpersonnelle,

Techniques de vente directe,

Orientation client et sens du service,

Capacité à travailler sous pression,

Connaissance des produits et argumentaire commercial.
Attitudes professionnelles

Être organisé et rigoureux,

Avoir une capacité relationnelle et un esprit d'équipe,

Être ouvert sur l'extérieur,

Être impliqué et avoir le sens de l'initiative,

Être disponible et avoir une capacité de dépassement,

Savoir communiquer et échanger.
Activités/tâches principales

Recrutement Client Orange Money,

Réveil clients dormants Orange Money,

Animation des point marchands et facturier,

Assistance des clients Orange Money.
Outils, supports ou documents utilisés

Application interne Orange Money,

L'agent doit disposer d'un smartphone.

Type de contrat: contrat de prestation de service

Durée du contrat: illimité
Détails du poste

Localisation du poste: Dakar/Thiès/Touba/St Louis/ Mbour/Kaolack/ Ziguinchor/ Sédhiou/ Kolda

Nombre de postes à pourvoir: Deux cent cinq (205)

Date limite dépôt: 17/07/2025","
                            ANPEJ
                    ",,925a4e98f74c7b78a352476f7e92d10b,Dakar,,"
                            CDI
                    ",,"14. juil., 13:20","
                Dakar
            ","
                            Autres
                    ",expat-dakar,"
    (205) Coach Mobile Orange Money
",,https://www.expat-dakar.com/annonce/205-coach-mobile-orange-money-6419803
6300175,"Je cherche un conducteur de moto Jakarta expérimenté.

J'ai une moto Jakarta qu'il va utiliser pour faire de la livraison ou faire le transport de personnes. Il me versera chaque jour 5000f.","
                            NIAKHA BUSINESS
                    ","
                            1 an
                    ",a83712dfe59dd92e39ea73e6bb0729ec,Hann Bel-Air,"
                            1
                    ","
                            CDD
                    ","
                            Sans diplôme
                    ","31. juil., 15:01","
                Dakar
            ","
                            Transports, logistique
                    ",expat-dakar,"
    Recherche Conducteur Jakarta
","
                            Temps partiel
                    ",https://www.expat-dakar.com/annonce/recherche-conducteur-jakarta-6300175
6420488,"Nous recherchons des techniciens en froid climatisation.

Expérience 3ans minimum.

Envoyez vos cv par whats up.

Pas d'appels.","
                            Habitat Concept DECO
                    ","
                            3 ans
                    ",b95b8224ef834d5272361e78e0134118,Mermoz,,,"
                            BFEM
                    ","15. juil., 09:41","
                Dakar
            ","
                            Commerce & grande distribution
                    ",expat-dakar,"
    RECHERCHE TECHNICIEN EN FROID CLIMATISATION
","
                            Temps plein
                    ",https://www.expat-dakar.com/annonce/recherche-technicien-en-froid-climatisation-6420488
6417654,"🔹 RECRUTEMENT AGENTS COMMERCIAUX 🔹

📢 SIAC recrute des Agents Commerciaux à Niancourab (Keur Massar)

Profil : motivé, dynamique, bon relationnel, débutants acceptés.

Aimer le contact humain et le travail en équipe est un plus.

📍 Déposez votre CV à notre bureau à Niancourab - Keur Massar.

📞 Contact : sur le numéro indiqué.",,,00c334a95e68e8a37796890df4a13594,Rufisque,,,,"11. juil., 09:47","
                Dakar
            ",,expat-dakar,"
    RECRUTEMENT AGENTS COMMERCIAUX
","
                            Temps plein
                    ",https://www.expat-dakar.com/annonce/recrutement-agents-commerciaux-6417654
6413854,"Recrutement : agents communautaire

Urgent une entreprise nouvellement installée à  HLM GRANG YOFF  recrute pour compléter sont effectif des personnes dynamiques motivées et qui aime les challenges pour plus d'informations veuillez nous contacter sur le numéro indiqué, bonne chance une bonne rémunération avec des primes sont à l'honneur.",,,5eae4400ce2874c0f088571880d5edc8,Hlm grand-yoff,,,,"7. juil., 09:16","
                Dakar
            ",,expat-dakar,"
    Recrutement : agents communautaire
","
                            Temps partiel
                    ",https://www.expat-dakar.com/annonce/recrutement-agents-communautaire-6413854
6413952,"Entreprise sénégalaise, Eramet Grande Côte (filiale du groupe Eramet) est spécialisée dans la valorisation d'ilménite, rutile, leucoxène et zircon. La mine et les deux usines de transformation sont en service depuis 2014. Le projet a réussi une succession de défis humains, techniques et sociétaux ayant permis de valoriser les ressources naturelles, en partenariat avec les autorités du pays et les communautés locales.

Offre soumise aux conditions d'un contrat local sans avantages expatriés.
Missions Principales

Sous la supervision du Chef de service Applicatif, l'ingénieur Applicatif H/F participe activement à la planification et la mise en œuvre des projets applicatifs industriels et de gestion.

Il/Elle mettra en œuvre le calendrier des échanges portant sur l'analyse des besoins des métiers (automatisation, évolution) ainsi que de l'adéquation des solutions sur le périmètre applicatif pour proposer les solutions adéquates en relation ainsi que la formalisation de la feuille de route applicative.
Responsabilités/Activités/ Tâches

Les principales responsabilités, activités et tâches pour le poste sont, sans toutefois s'y limiter :
Phases techniques des projets applicatifs

Participer à l'élaboration des spécifications techniques générales des projets applicatifs ainsi qu'à la rédaction des cahiers des charges fonctionnels par les métiers.

Participer à l'évaluation des risques (coûts, délais...) pouvant intervenir au cours de la réalisation.

Assurer la prise en charge correcte des éléments des projets applicatifs par les PMO Groupe et local.

Participer à l'élaboration des budgets des projets applicatifs ainsi qu'à l'évaluation des ressources requises.

En relation avec le Responsable PMO local, assurer la confection des rapports d'étapes / périodiques à partager avec les métiers.
Relation Client avec les métiers

Être le Business Partner des métiers sur tout le périmètre applicatif sous la supervision effective sur Chef de service Applicatif.

Organiser les rencontres périodiques d'échange et de recueil des besoins.

Assurer le service client, garantir la qualité de services des solutions déployées ainsi que leur adéquation avec les exigences des métiers.

Participer aux comités de pilotage et de recette auprès des métiers ainsi que des décideurs.
Fiabilité (Data Gouvernance) et Analyse (Data Analytics) des données

En relation avec les référents métiers, assurer la mise en œuvre de la fiabilité de la donnée ainsi que sa pérennité sur le périmètre applicatif.

En relation avec le Responsable Business Intelligence, assurer l'inspection, la transformation et la modélisation des données de soutenir activement la prise de décision pour les métiers clients du périmètre applicatif.

Assurer la pertinence des dashboards Power BI développés par le Responsable Business Intelligence pour les métiers.

Assurer l'intérim du Responsable Business Intelligence lors de ses absences.
Test et recette technique (périmètre applicatif)

Assister le Chef de service Applicatif dans la planification et l'organisation des tests unitaires et de charge

Suivre la mise en production et le déploiement

En relation avec le Chef de service Applicatif et les ingénieurs logiciels, assurer le suivi de la correction des écarts anomalies.
Exploitation Applicative (responsabilité secondaire)

Assurer le cycle de vie des applications sur son périmètre, la mise en œuvre des procédures d'exploitation, bonnes pratiques et recommandations d'audit.

Participer à la modélisation des applications et bases de données (avec un consultant externe si nécessaire), assurer leurs performances et haute disponibilité.

Participer aux tests du plan de reprise des activités en cas de sinistre, assurer la coordination du suivi des faiblesses trouvées sur son périmètre.

Gestion des licences ainsi que du budget associé des applications de son périmètre.

Sur son périmètre, assurer la mise en œuvre effective de la séparation des taches ainsi que des revues périodiques pertinentes. Être force de proposition.

Veille Technologique sur les applications et les bases de données.
Profil requis et expérience

Diplôme : Ingénieur / Bac + 5 minimum en Informatique

Minimum 5 ans d'expérience dans un poste similaire

Expérience minimum 3 ans en gestion de projet

Expérience en Wonderware , SCADA, intégration d'API sur des serveurs Historians est un atout
Compétences Techniques

Méthodes de dialogue et à construction avec les métiers une cible applicative.

Techniques de construction et maintien des architectures applicatives.

Capacité à construire et maintenir des architectures applicatives.

Bonne maitrise de C#, C++, Python, Java, Javascript, PHP, Power BI

Bonne maitrise de SQL Server, MySQL et PostgreSQL.

Bonne connaissance et maitrise au moins d'une méthode de gestion de projet (PRINCE2, AGILE, LEAN MANAGEMENT, PERT)

Bonnes connaissances de la sécurité des systèmes d'information (ISO 27001)

Application SI du marché

Gestion de projet

Gestion du cycle de vie des applications SI/ Digitales

Gestion de l'urbanisation des systèmes d'information.

Connaissances en réseaux informatiques

Bonne connaissance de Azure Devops et Microsoft Power Apps.

Connaissances approfondies du français et de l'anglais.
Compétences Comportementales

Engagement envers le développement professionnel continu

Dynamisme et proactivité

Excellentes qualités relationnelles et capacité à comprendre les besoins.

Rigueur et sens de l'organisation

Bonne communication écrite et orale

Bonnes capacités de planification et d'organisation

Capacité à superviser une équipe et à travailler en équipe

Esprit d'initiative, de synthèse et d'analyse

Autonomie
Autres Informations

Type de contrat : CDI

Lieu : Sénégal - Diogo

Prise de poste : Le plus tôt possible.","
                            Eramet
                    ","
                            5 ans
                    ",93e1e23a1519ac9989b73868d4648023,Tivaouane,"
                            1
                    ","
                            CDI
                    ","
                            Bac+5
                    ","7. juil., 11:33","
                Thiès
            ","
                            IT, Télécoms
                    ",expat-dakar,"
    Ingénieur applicatif
",,https://www.expat-dakar.com/annonce/ingenieur-applicatif-6413952
